description,bedrooms,square_feet,link,price
"1 bedroom and large office/study,1 1/2 bath, Encina Royale,",1,1087,https://santabarbara.craigslist.org/apa/d/goleta-bedroom-and-large-office-study1/7493652120.html,3300
Spacious 1 bed/1 bath unit just steps from Hendrey's beach,1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-spacious-bed-bath-unit/7503283855.html,2800
"1 bed/1 bath unit close to downtown SB, beaches and more",1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-bed-bath-unit-close-to/7503282394.html,2295
QUIET 5 BD/3 BA NEWLY REMODLED NEAR UCSB,5,NA,https://santabarbara.craigslist.org/apa/d/goleta-quiet-bd-ba-newly-remodled-near/7497889118.html,7500
Cute Santa Barbara Cottage!!,2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-cute-santa-barbara-cottage/7503270329.html,3950
Charming Studio in Summerland,NA,NA,https://santabarbara.craigslist.org/apa/d/summerland-charming-studio-in-summerland/7497280677.html,2100
Charming studio in excellent downtown location,NA,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-charming-studio-in/7502279964.html,2000
Resort style living at this large upgraded 4 BD - 2.5 BA split level,4,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-resort-style-living-at/7502358678.html,9500
Private Freestanding 2 bed 1 bath mid-century ocean view Gem,2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-private-freestanding-bed/7503218056.html,2900
Incredible Happy Canyon parcel in Ag Preserve,1,2930,https://santabarbara.craigslist.org/apa/d/solvang-incredible-happy-canyon-parcel/7503209803.html,1810
"Renovated 3 Bdrm 2 Bath Home, Garage, Excellent Schools",3,1450,https://santabarbara.craigslist.org/apa/d/santa-barbara-renovated-bdrm-bath-home/7493307877.html,5450
*Price Reduction *Luxury 2nd Floor Creekside Downtown Condo - 2bd/2ba,2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-price-reduction-luxury/7490668106.html,5000
"1BD/2BA Xtra Large near Beach, Bluffs, Hi-Tech Business.",1,850,https://santabarbara.craigslist.org/apa/d/santa-barbara-1bd-2ba-xtra-large-near/7503093275.html,2595
Cheerful Furnished Bungalow - 2Bed/2 Bath/2 Workspaces in Heart of SB,2,1223,https://santabarbara.craigslist.org/apa/d/santa-barbara-cheerful-furnished/7503071304.html,4700
"Summerland Ocean View 3bed, 2 bath apt for rent",3,NA,https://santabarbara.craigslist.org/apa/d/summerland-summerland-ocean-view-3bed/7498477645.html,5900
EAGLES NEST OCEAN VIEWS~TOP FLOOR~NO STEPS~BEST SUNSETS IN SB~~~,1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-eagles-nest-ocean/7503031460.html,3500
"Look,4-unit building34 W Constance",1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-look4-unit-building34/7503015259.html,3200
3 bed / 2 bath House near downtown w-1 large Garage - Watch Video,3,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-bed-bath-house-near/7499632702.html,4500
"Great Apartment in Mission Canyon, $1900 plus utilities",1,375,https://santabarbara.craigslist.org/apa/d/santa-barbara-great-apartment-in/7502917471.html,1900
Studio,NA,NA,https://santabarbara.craigslist.org/apa/d/goleta-studio/7502915954.html,1600
New Studio for Rent!,1,450,https://santabarbara.craigslist.org/apa/d/santa-barbara-new-studio-for-rent/7500856752.html,3333
Must see charming studio in excellent downtown location,NA,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-must-see-charming-studio/7502891953.html,2000
Spacious 1 bed/1 bath unit just steps from Hendrey's beach,1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-spacious-bed-bath-unit/7502888252.html,2800
Beautiful 1+1 available!,1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-beautiful-11-available/7502879727.html,2400
"DOWNTOWN LUXURY FURNISHED townhouse, short/long term, garage, parking",2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-downtown-luxury-furnished/7500125378.html,5250
Charming one bedroom upstairs unit,1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-charming-one-bedroom/7501872885.html,2400
Luxury Santa Barbara Apartment,2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-luxury-santa-barbara/7501904447.html,4750
"""NEW PRICE"" Alta Mesa- Charming 1,400 sqft, Spanish three bedroom home",3,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-new-price-alta-mesa/7498801084.html,4900
Fully furnished well appointed luxury Spanish style townhome,3,1649,https://santabarbara.craigslist.org/apa/d/santa-barbara-fully-furnished-well/7496918444.html,9000
Luxury Resort Living at El Escorial,2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-luxury-resort-living-at/7494530990.html,4800
