description,bedrooms,square_feet,link,price
"1 bed/1 bath unit close to downtown SB, beaches and more",1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-bed-bath-unit-close-to/7502785851.html,2295
3 Bedroom 2.5 Bath Townhouse 742-D,3,1600,https://santabarbara.craigslist.org/apa/d/bedroom-25-bath-townhouse-742/7495282673.html,4400
3 Bedroom 2 and half bath Townhouse 4041-A Coming Soon,3,1603,https://santabarbara.craigslist.org/apa/d/santa-barbara-bedroom-and-half-bath/7495276012.html,4400
"Beautiful and Newly remodeled 3bedroom/2bath home, Quiet Neighborhood",3,1500,https://santabarbara.craigslist.org/apa/d/santa-barbara-beautiful-and-newly/7502773737.html,6500
"Goleta, condominium",2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-goleta-condominium/7502738652.html,2900
5 BR / 2 BA Remodeled Home in Goleta,5,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-br-ba-remodeled-home-in/7497782930.html,7000
Charming Studio in Summerland,1,NA,https://santabarbara.craigslist.org/apa/d/summerland-charming-studio-in-summerland/7497073629.html,2100
Charming 1 BR/ 1 BA in Santa Barbara,1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-charming-br-ba-in-santa/7497750947.html,3200
Charming one bedroom upstairs unit,1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-charming-one-bedroom/7501853555.html,2400
Beautiful 5 BR / 2 BA Goleta House,5,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-beautiful-br-ba-goleta/7491087117.html,7000
Cute Cottage Bungalow located in Downtown SB,1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-cute-cottage-bungalow/7497276593.html,3200
Total Remodel - close to beach,3,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-total-remodel-close-to/7502722817.html,5200
Mission Canyon Hacienda,3,1500,https://santabarbara.craigslist.org/apa/d/santa-barbara-mission-canyon-hacienda/7502680704.html,10500
"Beautiful 4/2 House near Sprouts, Trader Joes, & East Beach!",4,1050,https://santabarbara.craigslist.org/apa/d/santa-barbara-beautiful-2-house-near/7502668835.html,6500
Apartment to share,2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-apartment-to-share/7502548948.html,1750
"Looking for roommate $1,025/month-2 bedroom/1 bathroom",2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-looking-for-roommate-1025/7502543025.html,2050
"DOWNTOWN LUXURY FURNISHED townhouse, short/long term, garage, parking",2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-downtown-luxury-furnished/7499756586.html,5250
Short Term -Summer -Furnished Carpinteria Coastal Cottage,2,NA,https://santabarbara.craigslist.org/apa/d/carpinteria-short-term-summer-furnished/7502492977.html,3400
Charming Downtown Studio Duplex w/ Washer & Dryer,NA,425,https://santabarbara.craigslist.org/apa/d/santa-barbara-charming-downtown-studio/7502468226.html,1700
Studio Apartment Available on State Street!,NA,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-studio-apartment/7502449219.html,1300
Duplex,2,900,https://santabarbara.craigslist.org/apa/d/santa-barbara-duplex/7502444700.html,3500
One bedroom West side apartment.,1,475,https://santabarbara.craigslist.org/apa/d/santa-barbara-one-bedroom-west-side/7502431892.html,2150
Furnished Cottage,2,800,https://santabarbara.craigslist.org/apa/d/summerland-furnished-cottage/7495451178.html,3600
3bd/2ba Remodeled Apartments by SBCC,3,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-3bd-2ba-remodeled/7502349425.html,4500
Newly remodeled apt by Cottage Hospital with back patio,1,700,https://santabarbara.craigslist.org/apa/d/newly-remodeled-apt-by-cottage-hospital/7500784633.html,3295
Fantastic 2-bedroom/ 1- bathroom detached duplex,2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-fantastic-bedroom/7499943075.html,3795
House for rent,3,1500,https://santabarbara.craigslist.org/apa/d/santa-barbara-house-for-rent/7502256513.html,6000
Fully Furnished 4 Bed/3 Bath,4,3900,https://santabarbara.craigslist.org/apa/d/santa-barbara-fully-furnished-bed-bath/7502194428.html,7500
Westside 3bed 2 bath updated space,3,900,https://santabarbara.craigslist.org/apa/d/santa-barbara-westside-3bed-bath/7496885172.html,4500
UCSB Students seeks students to Share home wLarge rooms & Yard area!,3,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-ucsb-students-seeks/7502167134.html,1095
ISLA VISTA OCEANFRONT 2 Room Studio by UCSB!,2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-isla-vista-oceanfront/7493433533.html,5580
ISLA VISTA OCEANFRONT SHARED STUDIO Available Summer& next school yr!,1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-isla-vista-oceanfront/7494282984.html,1295
UCSB Student need students for LARGE SINGLE rooms in ISLA VISTA,1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-ucsb-student-need/7494277957.html,2590
Available 7/1/22 for ISLA VISTA OCEANFRONT Studio/rooms by UCSB!,1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-available-for-isla-vista/7494276456.html,2590
House for rent,3,2040,https://santabarbara.craigslist.org/apa/d/goleta-house-for-rent/7502137369.html,6000
"Furnished, One Bedroom Accessory Unit all Utilities Included",1,480,https://santabarbara.craigslist.org/apa/d/santa-barbara-furnished-one-bedroom/7502116091.html,3000
"Summerland~Views, Views, Views! Remodeled Kitchen & Bathroom!!!",1,NA,https://santabarbara.craigslist.org/apa/d/summerland-summerlandviews-views-views/7502048758.html,2495
Live the Carpinteria Casual Life! LIVE THE WONDERFUL BEACH-STYLE LIFE!,3,NA,https://santabarbara.craigslist.org/apa/d/carpinteria-live-the-carpinteria-casual/7502049063.html,4995
Live the Dream Life ~ Montecito Studio!,NA,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-live-the-dream-life/7502048574.html,1995
Franciscan Village Condo for Rent,2,817,https://santabarbara.craigslist.org/apa/d/carpinteria-franciscan-village-condo/7502029679.html,3000
2 Bedroom Unit with Balcony - 2 Bed/ 1 Bath,2,NA,https://santabarbara.craigslist.org/apa/d/bedroom-unit-with-balcony-bed-bath/7499090869.html,2800
Gorgeous 2 bedroom apartment near Girsh Park,2,1000,https://santabarbara.craigslist.org/apa/d/santa-barbara-gorgeous-bedroom/7501821992.html,2900
Fully Furnished 4 Bed/3 Bath,4,3900,https://santabarbara.craigslist.org/apa/d/santa-barbara-fully-furnished-bed-bath/7501749239.html,7500
Remodeled and Furnished 3/2 close to East Beach and Downtown,3,1008,https://santabarbara.craigslist.org/apa/d/santa-barbara-remodeled-and-furnished-2/7500213910.html,6500
Fully Furnished 4 Bed/3 Bath,4,3900,https://santabarbara.craigslist.org/apa/d/santa-barbara-fully-furnished-bed-bath/7501390433.html,7500
Spanish-Style House for Rent,2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-spanish-style-house-for/7501312637.html,5000
"Fully Furnished 3 bed, 3.5 bath Home for Rent",3,2750,https://santabarbara.craigslist.org/apa/d/santa-barbara-fully-furnished-bed-35/7501282309.html,10000
Beautiful Home ready for rent in Noleta!,5,1750,https://santabarbara.craigslist.org/apa/d/santa-barbara-beautiful-home-ready-for/7499002017.html,7250
1 Bed / 1 Bath in Santa Barbara,1,650,https://santabarbara.craigslist.org/apa/d/santa-barbara-bed-bath-in-santa-barbara/7500900161.html,1995
2 Bd/1Ba Furnished Unit!,2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-bd-1ba-furnished-unit/7500900118.html,3900
Ivy Carillo 1BR / 1BA,1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-ivy-carillo-1br-1ba/7500900050.html,2400
3br - 3 Bedroom/1.5ba!,3,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-3br-bedroom-15ba/7500899985.html,3750
SB Upper East Condo,2,1312,https://santabarbara.craigslist.org/apa/d/santa-barbara-sb-upper-east-condo/7495145770.html,4600
Charming/Separate Studio/Furnished,NA,220,https://santabarbara.craigslist.org/apa/d/santa-barbara-charming-separate-studio/7500873509.html,2200
Spacious 3/2 Mesa Home in Washington School District!,3,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-spacious-2-mesa-home-in/7500861583.html,5500
Charming 2 bed/1.5 bath with great enclosed backyard in Hidden Valley!,2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-charming-bed-15-bath-with/7491550837.html,3950
Fully Remodeled A+ Luxury Homes near Montecito!,2,1047,https://santabarbara.craigslist.org/apa/d/santa-barbara-fully-remodeled-luxury/7491557162.html,5850
"Carpinteria Downtown Beach Neighborhood 2 Bed/2 Bath Home RENT $5,500",2,998,https://santabarbara.craigslist.org/apa/d/carpinteria-carpinteria-downtown-beach/7500809079.html,5500
Private 2bd/1ba Garden Apartment,2,850,https://santabarbara.craigslist.org/apa/d/santa-barbara-private-2bd-1ba-garden/7496407030.html,4450
Private House 3 Bdr 2 Bath in Quiet Neighborhood,3,1757,https://santabarbara.craigslist.org/apa/d/solvang-private-house-bdr-bath-in-quiet/7500744683.html,4100
Airy and bright upstairs 1 bed/1 bath apartment for lease,1,600,https://santabarbara.craigslist.org/apa/d/solvang-airy-and-bright-upstairs-bed/7500692143.html,1850
2 bedroom Mesa Townhome,2,1080,https://santabarbara.craigslist.org/apa/d/santa-barbara-bedroom-mesa-townhome/7500645766.html,4200
Fully Furnished 4 Bed/3 Bath,4,3900,https://santabarbara.craigslist.org/apa/d/santa-barbara-fully-furnished-bed-bath/7500577081.html,7500
"Downtown luxury furnished townhouse, short/long term, garage, parking",2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-downtown-luxury-furnished/7500578426.html,5250
Storke Ranch House 3 bd 2.5 baths for rent,3,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-storke-ranch-house-bd-25/7500487906.html,5300
San Roque 3/2 home on private lane off Foothill,3,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-san-roque-2-home-on/7495220133.html,6695
2 BR/2BA - Luxury Santa Barbara Apartment,2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-br-2ba-luxury-santa/7488764271.html,4750
MESA STUDIO,NA,430,https://santabarbara.craigslist.org/apa/d/santa-barbara-mesa-studio/7500266228.html,2300
Downtown Santa Barbara Apartements ($4500-$7500),NA,NA,https://losangeles.craigslist.org/sfv/apa/d/santa-barbara-downtown-santa-barbara/7497219427.html,4500
Fully Furnished 4 Bed/3 Bath,4,3900,https://santabarbara.craigslist.org/apa/d/santa-barbara-fully-furnished-bed-bath/7500119927.html,7500
Remodeled downtown two bedroom penthouse,2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-remodeled-downtown-two/7500071495.html,4400
Ocean Views- 2bd House- Available July,2,1400,https://santabarbara.craigslist.org/apa/d/summerland-ocean-views-2bd-house/7494998178.html,6000
Beautiful 3/2 Condominium,3,1208,https://santabarbara.craigslist.org/apa/d/santa-barbara-beautiful-2-condominium/7499958933.html,5900
"Large Studio, Walk to Beach & DT",1,NA,https://santabarbara.craigslist.org/apa/d/carpinteria-large-studio-walk-to-beach/7499910178.html,2800
Fully Furnished 4 Bed/3 Bath,4,3900,https://santabarbara.craigslist.org/apa/d/santa-barbara-fully-furnished-bed-bath/7499690831.html,7500
$3k/mo - 2 bd condo Encino Royale,2,1200,https://santabarbara.craigslist.org/apa/d/santa-barbara-3k-mo-bd-condo-encino/7499611276.html,3000
"3bd/2bth Remodeled House, yard,fruit trees, Washer/Dryer",3,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-3bd-2bth-remodeled-house/7495950014.html,4250
Bright 4 bed 2.5 bath home near North Campus Open Space,4,1679,https://santabarbara.craigslist.org/apa/d/santa-barbara-bright-bed-25-bath-home/7499478683.html,5000
Updated 2 BR Townhouse with mountain views - Coming soon.,2,1003,https://santabarbara.craigslist.org/apa/d/santa-barbara-updated-br-townhouse-with/7499438954.html,3950
Updated Studio Apartment Near Downtown Carpinteria,NA,NA,https://santabarbara.craigslist.org/apa/d/carpinteria-updated-studio-apartment/7499310680.html,2250
Fully Furnished 4 Bed/3 Bath,4,3900,https://santabarbara.craigslist.org/apa/d/santa-barbara-fully-furnished-bed-bath/7499254991.html,7500
"Studio with outdoor space, own entrance and studio appliances",NA,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-studio-with-outdoor-space/7499184665.html,1800
Studio on gated 14 acres,NA,480,https://santabarbara.craigslist.org/apa/d/solvang-studio-on-gated-14-acres/7499131940.html,2000
Ivy Carillo 1BR / 1BA,1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-ivy-carillo-1br-1ba/7499106882.html,2400
2 Bd/1Ba Furnished Unit!,2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-bd-1ba-furnished-unit/7499106765.html,3900
3br - 3 Bedroom/1.5ba !,3,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-3br-bedroom-15ba/7499106636.html,3750
1 Bed / 1 Bath in Santa Barbara,1,650,https://santabarbara.craigslist.org/apa/d/santa-barbara-bed-bath-in-santa-barbara/7499106527.html,1995
Charming Furnished Lower Riviera Casita for Rent,2,1200,https://santabarbara.craigslist.org/apa/d/santa-barbara-charming-furnished-lower/7499034105.html,4800
Great location -Furnished 2Bd/1Ba,2,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-great-location-furnished/7498955534.html,3200
1br - Fully Furnished One Bedrooms!! (The Tahitian),1,NA,https://santabarbara.craigslist.org/apa/d/santa-barbara-1br-fully-furnished-one/7488770735.html,3400
