artist,album,rating,review_link,info_link
Weezer,Weezer (Teal Album),60,https://www.youtube.com/watch?v=Bf6ivvOanxI,https://www.albumoftheyear.org/album/137308-weezer-weezer-teal-album.php
Deerhunter,Why Hasn't Everything Already Disappeared?,50,https://www.youtube.com/watch?v=ujPHUKQ4C7Q,https://www.albumoftheyear.org/album/108493-deerhunter-why-hasnt-everything-already-disappeared.php
Sharon Van Etten,Remind Me Tomorrow,70,https://www.youtube.com/watch?v=HwWQveEGCNA,https://www.albumoftheyear.org/album/123422-sharon-van-etten-remind-me-tomorrow.php
Malibu Ken,Malibu Ken,80,https://www.youtube.com/watch?v=BFWxkPF6n0o,https://www.albumoftheyear.org/album/129056-malibu-ken-malibu-ken.php
Toro y Moi,Outer Peace,60,https://www.youtube.com/watch?v=EcGF0_3IarY,https://www.albumoftheyear.org/album/125547-toro-y-moi-outer-peace.php
Maggie Rogers,Heard It In A Past Life,30,https://www.youtube.com/watch?v=asIkx9NJs7o,https://www.albumoftheyear.org/album/124302-maggie-rogers-heard-it-in-a-past-life.php
James Blake,Assume Form,70,https://www.youtube.com/watch?v=CYldmrlhCZA,https://www.albumoftheyear.org/album/134688-james-blake-assume-form.php
Future,Future Hndrxx Presents: The WIZRD,70,https://www.youtube.com/watch?v=kHn-r95Gsm0,https://www.albumoftheyear.org/album/135341-future-the-wizrd.php
Big K.R.I.T.,TDT,60,https://www.youtube.com/watch?v=QCLxY1FHMh0,https://www.albumoftheyear.org/album/135743-big-krit-tdt.php
Comethazine,Bawskee 2,40,https://www.youtube.com/watch?v=Z9xDiR7v_XA,https://www.albumoftheyear.org/album/135250-comethazine-bawskee-2.php
Bad Bunny,X 100PRE,50,https://www.youtube.com/watch?v=Mjs52lzxkZo,https://www.albumoftheyear.org/album/133363-bad-bunny-x-100pre.php
21 Savage,i am > i was,70,https://www.youtube.com/watch?v=cY27XD0ZRho,https://www.albumoftheyear.org/album/131222-21-savage-i-am-i-was.php
XXXTENTACION,SKINS,20,https://www.youtube.com/watch?v=A38GRCfbJkw,https://www.albumoftheyear.org/album/127508-xxxtentacion-skins.php
Meek Mill,Championships,50,https://www.youtube.com/watch?v=0RX4a0htqGE,https://www.albumoftheyear.org/album/128516-meek-mill-championships.php
Ski Mask The Slump God,STOKELEY,60,https://www.youtube.com/watch?v=qaD2eyTJoj0,https://www.albumoftheyear.org/album/130162-ski-mask-the-slump-god-stokeley.php
Earl Sweatshirt,Some Rap Songs,80,https://www.youtube.com/watch?v=G6em044hErc,https://www.albumoftheyear.org/album/129045-earl-sweatshirt-some-rap-songs.php
The 1975,A Brief Inquiry Into Online Relationships,60,https://www.youtube.com/watch?v=NBPPffw84r4,https://www.albumoftheyear.org/album/88772-the-1975-a-brief-inquiry-into-online-relationships.php
6ix9ine,DUMMY BOY,40,https://www.youtube.com/watch?v=fpnn6UuKUZU,https://www.albumoftheyear.org/album/127431-6ix9ine-dummy-boy.php
Black Thought & Salaam Remi,"Streams of Thought, Vol. 2",70,https://www.youtube.com/watch?v=QxqCaR0jFQU,https://www.albumoftheyear.org/album/129714-black-thought-salaam-remi-streams-of-thought-vol-2.php
J.I.D,DiCaprio 2,80,https://www.youtube.com/watch?v=HgUsQKCw7Wo,https://www.albumoftheyear.org/album/127155-jid-dicaprio-2.php
Kai Whiston,Kai Whiston Bitch,70,https://www.youtube.com/watch?v=sh7znEb3TQg,https://www.albumoftheyear.org/album/129344-kai-whiston-kai-whiston-bitch.php
Jaden,The Sunset Tapes: A Cool Tape Story,20,https://www.youtube.com/watch?v=r0kBjptl8_0,https://www.albumoftheyear.org/album/123751-jaden-smith-the-sunset-tapes-a-cool-tape-story.php
"Tyler, the Creator",Music Inspired by Illumination & Dr. Seuss’ The Grinch,30,https://www.youtube.com/watch?v=bljZyA60Qmc,https://www.albumoftheyear.org/album/128408-tyler-the-creator-music-inspired-by-illumination-dr-seuss-the-grinch.php
Anderson .Paak,Oxnard,80,https://www.youtube.com/watch?v=tIWTYmVCs9c,https://www.albumoftheyear.org/album/123739-anderson-paak-oxnard.php
Trippie Redd,A Love Letter To You 3,70,https://www.youtube.com/watch?v=I9YcGpehDnk,https://www.albumoftheyear.org/album/127462-trippie-redd-a-love-letter-to-you-3.php
Lil Peep,"Come Over When You're Sober, Pt. 2",40,https://www.youtube.com/watch?v=ZuiTDmMu01c,https://www.albumoftheyear.org/album/125105-lil-peep-come-over-when-youre-sober-part-two.php
Muse,Simulation Theory,50,https://www.youtube.com/watch?v=EJjG_aK0tIU,https://www.albumoftheyear.org/album/120207-muse-simulation-theory.php
Marquis Hill,"Modern Flows, Vol. 2",80,https://www.youtube.com/watch?v=mbF6V2ouS28,https://www.albumoftheyear.org/album/136363-marquis-hill-modern-flows-vol-2.php
Metro Boomin,Not All Heroes Wear Capes,60,https://www.youtube.com/watch?v=oHIXPOHr6JI,https://www.albumoftheyear.org/album/126640-metro-boomin-not-all-heroes-wear-capes.php
Takeoff,The Last Rocket,40,https://www.youtube.com/watch?v=tPU_qMbBPTY,https://www.albumoftheyear.org/album/126039-takeoff-the-last-rocket.php
ROSALÍA,EL MAL QUERER,80,https://www.youtube.com/watch?v=E93gYPKfC8U,https://www.albumoftheyear.org/album/121472-rosalia-el-mal-querer.php
Vince Staples,FM!,70,https://www.youtube.com/watch?v=zlmRdQanHlc,https://www.albumoftheyear.org/album/126677-vince-staples-fm.php
Sun Kil Moon,This Is My Dinner,60,https://www.youtube.com/watch?v=e4zQHNTEqEw,https://www.albumoftheyear.org/album/114789-sun-kil-moon-this-is-my-dinner.php
Action Bronson,White Bronco,50,https://www.youtube.com/watch?v=n5Pehmoo-SE,https://www.albumoftheyear.org/album/126647-action-bronson-white-bronco.php
"Curren$y, Freddie Gibbs & The Alchemist",Fetti,70,https://www.youtube.com/watch?v=sPloNY4dmnc,https://www.albumoftheyear.org/album/122824-currensy-freddie-gibbs-the-alchemist-fetti.php
Poppy,Am I A Girl?,70,https://www.youtube.com/watch?v=lqax_kwYL3A,https://www.albumoftheyear.org/album/121261-poppy-am-i-a-girl.php
Joji,BALLADS 1,50,https://www.youtube.com/watch?v=9UPA4YgRVhU,https://www.albumoftheyear.org/album/121689-joji-ballads-1.php
Julia Holter,Aviary,80,https://www.youtube.com/watch?v=iWiKSNULvPc,https://www.albumoftheyear.org/album/120775-julia-holter-aviary.php
Soap&Skin,From Gas to Solid / You Are My Friend,40,https://www.youtube.com/watch?v=jVCFinUjUrU,https://www.albumoftheyear.org/album/118190-soap-skin-from-gas-to-solid-you-are-my-friend.php
Daughters,You Won't Get What You Want,100,https://www.youtube.com/watch?v=DO5pcLp8-HM,https://www.albumoftheyear.org/album/119341-daughters-you-wont-get-what-you-want.php
Open Mike Eagle,What Happens When I Try To Relax,70,https://www.youtube.com/watch?v=0lapNx5xza8,https://www.albumoftheyear.org/album/124884-open-mike-eagle-what-happens-when-i-try-to-relax.php
